,pbo,best_strat
9502 JT,0.4666666666666667,RSI-4-30-60
9503 JT,0.7333333333333333,RSI-24-40-80
9531 JT,0.13333333333333333,RSI-4-20-80
9532 JT,0.17777777777777778,RSI-4-20-80
9602 JT,0.1111111111111111,RSI-24-40-70
9613 JT,0.4444444444444444,RSI-14-40-80
9735 JT,0.4,RSI-14-20-80
9766 JT,0.24444444444444444,RSI-24-30-80
9983 JT,0.3333333333333333,BBANDS-20-1
9984 JT,0.15555555555555556,RSI-14-20-80
